,时间,标题,股票代码,问询函类型,文件地址
670,2020-06-12 17:30:02,关于阳煤化工股份有限公司出售资产暨关联交易事项的问询函,600691,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139277892842109.pdf
671,2020-06-12 17:10:02,关于上海联明机械股份有限公司的重大资产重组预案审核意见函,603006,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892711721.pdf
672,2020-06-11 19:20:02,关于江苏吉鑫风能科技股份有限公司2019年年度报告的信息披露监管二次问询函,601218,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892693536.pdf
673,2020-06-11 18:40:02,关于龙元建设集团股份有限公司的定期报告信息披露监管问询函,600491,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892684561.pdf
674,2020-06-11 18:10:02,关于广东明珠集团股份有限公司的定期报告信息披露监管问询函,600382,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892674143.pdf
675,2020-06-11 17:50:02,关于郑州德恒宏盛科技发展股份有限公司的重大资产重组预案审核意见函,600817,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892665628.pdf
676,2020-06-11 17:10:02,关于郑州德恒宏盛科技发展股份有限公司的重大资产重组预案审核意见函,600817,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139277892552494.pdf
677,2020-06-10 18:20:02,关于湖南百利工程科技股份有限公司的定期报告信息披露监管问询函,603959,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892468850.pdf
678,2020-06-09 19:50:01,关于力帆实业（集团）股份有限公司2019年年度报告的信息披露监管问询函,601777,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892382178.pdf
679,2020-06-09 19:00:02,关于上海航天汽车机电股份有限公司2019年年度报告的信息披露监管问询函,600151,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892372449.pdf
680,2020-06-09 18:00:02,关于对陕西航天动力高科技股份有限公司2019年年度报告信息披露监管问询函,600343,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892346038.pdf
681,2020-06-09 17:50:01,关于江苏玉龙钢管股份有限公司的定期报告信息披露监管问询函,601028,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892349982.pdf
682,2020-06-09 17:40:01,关于江西长运股份有限公司的定期报告信息披露监管问询函,600561,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892340559.pdf
683,2020-06-09 17:10:02,关于白银有色集团股份有限公司的定期报告信息披露监管问询函,601212,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892223424.pdf
684,2020-06-09 17:10:02,关于河北福成五丰食品股份有限公司的2019年年报信息披露监管问询函,600965,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892226602.pdf
685,2020-06-08 19:40:01,关于尚纬股份有限公司的定期报告信息披露监管问询函,603333,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892202668.pdf
686,2020-06-08 18:30:01,关于江苏综艺股份有限公司的定期报告信息披露监管问询函,600770,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892127077.pdf
687,2020-06-08 17:10:01,关于安徽铜峰电子股份有限公司的定期报告信息披露监管问询函,600237,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139277892124429.pdf
688,2020-06-05 19:20:01,关于北汽福田汽车股份有限公司2019年年度报告的信息披露监管问询函,600166,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139216808529095.pdf
689,2020-06-05 17:10:25,关于上海宏达矿业股份有限公司的定期报告信息披露监管问询函,600532,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139216808441636.pdf
690,2020-07-23 19:10:07,关于湖北美尔雅股份有限公司的重大资产重组预案审核意见函,600107,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139644401384102.pdf
691,2020-07-23 17:50:31,关于文一三佳科技股份有限公司的问询函,600520,问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/enquiry/c/8139644401310158.pdf
692,2020-07-21 19:40:07,关于大连港股份有限公司的重大资产重组预案信息披露的问询函,601880,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139644401130714.pdf
693,2020-07-21 19:40:07,关于营口港务股份有限公司的重大资产重组预案信息披露问询函,600317,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139644401131280.pdf
694,2020-07-21 17:10:48,关于西藏珠峰资源股份有限公司的定期报告信息披露监管问询函,600338,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139644401012847.pdf
695,2020-07-20 20:50:06,关于展鹏科技股份有限公司的重大资产重组预案审核意见函,603488,重大资产重组预案审核意见函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/maarao/c/8139644401002759.pdf
696,2020-07-20 19:30:06,关于广东榕泰实业股份有限公司的定期报告信息披露监管问询函,600589,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139644400991815.pdf
697,2020-07-20 17:10:32,关于新疆拉夏贝尔服饰股份有限公司2019年年度报告的信息披露监管问询函,603157,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139644400831183.pdf
698,2020-07-15 18:00:06,关于福建实达集团股份有限公司的定期报告信息披露监管问询函,600734,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139583316592076.pdf
699,2020-07-15 17:10:06,关于洲际油气股份有限公司的定期报告信息披露监管问询函,600759,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139583316472350.pdf
700,2020-07-10 19:20:05,关于浙江瀚叶股份有限公司的定期报告信息披露监管问询函,600226,定期报告信息披露监管问询函,www.sse.com.cn/disclosure/credibility/supervision/inquiries/opinion/c/8139564899629948.pdf
